settlement_date,elexon_bm_unit,national_grid_bm_unit,cluster_key,cluster_label,parent_region,mapping_status,dispatch_half_hour_count,estimated_dispatch_half_hour_count,blocked_dispatch_half_hour_count,accepted_down_delta_mwh_lower_bound,physical_dispatch_down_increment_mwh_lower_bound,estimated_dispatch_down_mwh_lower_bound,blocked_dispatch_down_mwh_lower_bound,blocked_outage_dispatch_down_mwh_lower_bound,blocked_availability_unknown_dispatch_down_mwh_lower_bound,blocked_physical_below_generation_dispatch_down_mwh_lower_bound,blocked_physical_inconsistent_dispatch_down_mwh_lower_bound,lost_energy_mwh,dispatch_alignment_state,primary_dispatch_block_reason
2024-10-03,T_HMGTO-1,HMGTO-1,,,,unmapped,48,16,32,0.0,689.5,280.0,409.5,0.0,0.0,393.5,16.0,48.965,partially_blocked,physical_below_generation
2024-10-03,T_DDGNO-3,DDGNO-3,,,,unmapped,48,24,24,0.0,868.5,491.0,377.5,0.0,0.0,377.5,0.0,97.67,partially_blocked,physical_below_generation
2024-10-03,T_WDNSO-1,WDNSO-1,,,,unmapped,48,26,22,0.0,948.5,591.0,357.5,0.0,0.0,357.5,0.0,122.286,partially_blocked,physical_below_generation
2024-10-03,T_DDGNO-1,DDGNO-1,,,,unmapped,48,22,26,0.0,751.0,403.5,347.5,0.0,0.0,347.5,0.0,81.981,partially_blocked,physical_below_generation
2024-10-03,T_WLNYO-2,WLNYO-2,,,,unmapped,48,35,13,0.0,1053.25,707.75,345.5,0.0,0.0,345.5,0.0,129.82,partially_blocked,physical_below_generation
2024-10-03,T_WLNYW-1,WLNYW-1,,,,unmapped,48,28,20,0.0,737.25,409.0,328.25,0.0,0.0,328.25,0.0,109.55,partially_blocked,physical_below_generation
2024-10-03,T_DDGNO-2,DDGNO-2,,,,unmapped,48,16,32,0.0,526.0,198.0,328.0,0.0,0.0,328.0,0.0,47.599,partially_blocked,physical_below_generation
2024-10-03,T_GANW-13,GAOFO-3,,,,unmapped,48,34,14,0.0,1103.5,789.5,314.0,0.0,0.0,314.0,0.0,112.32,partially_blocked,physical_below_generation
2024-10-03,T_SHRSW-2,SHRSO-2,,,,unmapped,48,25,23,0.0,887.0,591.5,295.5,0.0,0.0,295.5,0.0,197.024,partially_blocked,physical_below_generation
2024-10-03,T_WDNSO-2,WDNSO-2,,,,unmapped,48,31,17,0.0,948.5,653.5,295.0,0.0,0.0,295.0,0.0,204.926,partially_blocked,physical_below_generation
2024-10-03,T_GNFSW-1,GNFSW-1,east_anglia_offshore,East Anglia Offshore,England/Wales,mapped,48,3,45,0.0,317.25,33.25,284.0,0.0,0.0,284.0,0.0,7.545999999999999,partially_blocked,physical_below_generation
2024-10-03,T_GANW-22,GAOFO-2,,,,unmapped,48,34,14,0.0,1093.0,821.5,271.5,0.0,0.0,237.5,34.0,100.32000000000001,partially_blocked,physical_below_generation
2024-10-03,T_WHILW-1,WHILW-1,,,,unmapped,48,17,31,0.0,423.5,157.0,266.5,0.0,0.0,266.5,0.0,36.504,partially_blocked,physical_below_generation
2024-10-03,T_OMNDW-1,OMNDO-1,,,,unmapped,48,4,44,0.0,252.5,39.75,212.75,0.0,0.0,212.75,0.0,2.3549999999999986,partially_blocked,physical_below_generation
2024-10-03,T_DOREW-1,DOREW-1,,,,unmapped,42,17,25,0.0,414.75,209.0,205.75,0.0,0.0,205.75,0.0,88.6,partially_blocked,physical_below_generation
2024-10-03,T_GRGBW-2,GRGBW-2,,,,unmapped,48,0,48,0.0,200.25833333333333,0.0,200.25833333333333,0.0,0.0,200.25833333333333,0.0,0.0,fully_blocked,physical_below_generation
2024-10-03,T_SHRSW-1,SHRSO-1,,,,unmapped,48,29,19,0.0,822.5,629.0,193.5,0.0,0.0,193.5,0.0,184.741,partially_blocked,physical_below_generation
2024-10-03,T_GNFSW-2,GNFSW-2,east_anglia_offshore,East Anglia Offshore,England/Wales,mapped,48,4,44,0.0,233.0,42.75,190.25,0.0,0.0,190.25,0.0,6.699000000000001,partially_blocked,physical_below_generation
2024-10-03,T_FALGW-1,FALGW-1,,,,unmapped,48,31,17,0.0,331.25,146.5,184.75,0.0,0.0,184.75,0.0,41.2,partially_blocked,physical_below_generation
2024-10-03,T_ARCHW-1,ARCHW-1,,,,unmapped,48,29,19,0.0,450.0,274.0,176.0,0.0,0.0,176.0,0.0,59.75699999999999,partially_blocked,physical_below_generation
2024-10-03,T_CRGHW-1,CRGHW-1,,,,unmapped,48,18,30,0.0,276.0,102.5,173.5,0.0,0.0,173.5,0.0,22.924,partially_blocked,physical_below_generation
2024-10-03,T_STLGW-2,STLGW-2,,,,unmapped,48,0,48,0.0,172.05,0.0,172.05,0.0,0.0,172.05,0.0,0.0,fully_blocked,physical_below_generation
2024-10-03,T_WISTW-2,WISTW-2,,,,unmapped,48,36,12,0.0,478.25,306.25,172.0,0.0,0.0,172.0,0.0,117.63999999999999,partially_blocked,physical_below_generation
2024-10-03,T_WHILW-2,WHILW-2,,,,unmapped,48,22,26,0.0,322.0,152.0,170.0,0.0,0.0,157.5,12.5,39.033,partially_blocked,physical_below_generation
2024-10-03,E_BTUIW-3,BTUIW-3,,,,unmapped,48,27,21,0.0,609.0,448.0,161.0,0.0,0.0,161.0,0.0,61.842,partially_blocked,physical_below_generation
2024-10-03,T_AFTOW-1,AFTOW-1,,,,unmapped,48,17,31,0.0,227.0,70.0,157.0,0.0,0.0,157.0,0.0,17.375999999999998,partially_blocked,physical_below_generation
